ID;SENT_FROM_NAME;SENT_FROM_ID;RECIVED_BY_NAME;RECIVED_BY_ID;Absendeort;Absendeort_id;Ankunftsort;Ankunftsort_id;Nummer_Harris;Journalnummer;Aufbewahrungsort;Aufbewahrungsinstitution;Signatur;url_facsimile;published_in;published_in_url;Datum;letter_text;status_letter_text;summary_en;persons_mentioned;topics_mentioned;normalized_text;scan_erhalten;upload_transkribus;ATR_processed;ATR_proofread;tei_encoded
lassberg-letter-0505;Joseph von Laßberg;lassberg-correspondent-0373;Johann Martin Usteri;lassberg-correspondent-0210;Baden (Aargau);lassberg-place-0016;;;286;360;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms V 312.78;;;;1818-08-01;;;;;;;;;;;
lassberg-letter-0506;Johann Martin Usteri;lassberg-correspondent-0210;Joseph von Laßberg;lassberg-correspondent-0373;Zürich;lassberg-place-0166;;;1790;;Zürich;Zentralbibliothek;Ms Briefe, Usteri 3.7;;;;1818-08-01;;;;;;;;;;;
lassberg-letter-0507;Joseph von Laßberg;lassberg-correspondent-0373;Johann Martin Usteri;lassberg-correspondent-0210;Baden (Aargau);lassberg-place-0016;;;287;367;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms V 312.78;;;;1818-08-06;;;;;;;;;;;
lassberg-letter-0508;Johann JakobHorner;lassberg-correspondent-0203;Joseph von Laßberg;lassberg-correspondent-0373;Zürich;lassberg-place-0166;;;1791;;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32a;;;;1818-08-08;;;;;;;;;;;
lassberg-letter-0509;Joseph von Laßberg;lassberg-correspondent-0373;Johann Martin Usteri;lassberg-correspondent-0210;Baden (Aargau);lassberg-place-0016;;;288;372;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms V 312.78;;;;1818-08-12;;;;;;;;;;;
lassberg-letter-0510;Joseph von Laßberg;lassberg-correspondent-0373;Johann JakobHorner;lassberg-correspondent-0203;Baden (Aargau);lassberg-place-0016;;;289;373;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32;;;;1818-08-12;;;;;;;;;;;
lassberg-letter-0511;Ludwig von Madroux;lassberg-correspondent-0289;Joseph von Laßberg;lassberg-correspondent-0373;Augsburg;lassberg-place-0012;;;1792;;Dortmund;Stadt- und Landesbibliothek;;;;;1818-08-12;;;;;;;;;;;
lassberg-letter-0512;Johann Martin Usteri;lassberg-correspondent-0210;Joseph von Laßberg;lassberg-correspondent-0373;Zürich;lassberg-place-0166;;;1793;;Zürich;Zentralbibliothek;Ms Briefe, Usteri 3.7;;;;1818-08-15;;;;;;;;;;;
lassberg-letter-0513;Joseph von Laßberg;lassberg-correspondent-0373;Johann Martin Usteri;lassberg-correspondent-0210;Baden (Aargau);lassberg-place-0016;;;290;391;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms V 312.78;;;;1818-08-30;;;;;;;;;;;
lassberg-letter-0514;Johann Martin Usteri;lassberg-correspondent-0210;Joseph von Laßberg;lassberg-correspondent-0373;Zürich;lassberg-place-0166;;;1794;;Zürich;Zentralbibliothek;Ms Briefe, Usteri 3.7;;;;1818-09-01;;;;;;;;;;;
lassberg-letter-0515;Joseph von Laßberg;lassberg-correspondent-0373;Johann Martin Usteri;lassberg-correspondent-0210;Baden (Aargau);lassberg-place-0016;;;291;392;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms V 312.78;;;;1818-09-02;;;;;;;;;;;
lassberg-letter-0516;Joseph von Laßberg;lassberg-correspondent-0373;Johann Caspar von Orelli;lassberg-correspondent-0192;Zürich;lassberg-place-0166;;;292;419;Zürich;Zentralbibliothek;Handschriftenabteilung, FA vOrelli 4;;;;1818-09-09;;;;;;;;;;;
lassberg-letter-0517;Joseph von Laßberg;lassberg-correspondent-0373;Johann JakobHorner;lassberg-correspondent-0203;Heiligenberg;lassberg-place-0066;;;293;421;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32;;;;1818-09-18;;;;;;;;;;;
lassberg-letter-0518;Joseph von Laßberg;lassberg-correspondent-0373;Johann Martin Usteri;lassberg-correspondent-0210;Heiligenberg;lassberg-place-0066;;;294;422;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms V 312.78;;;;1818-09-18;;;;;;;;;;;
lassberg-letter-0519;Gsell;lassberg-correspondent-0143;Joseph von Laßberg;lassberg-correspondent-0373;Zihlschlacht;lassberg-place-0168;;;1795;;Berlin;Staatsbibliothek Preussischer Kulturbesitz;;;;;1818-09-21;;;;;;;;;;;
lassberg-letter-0520;Joseph von Laßberg;lassberg-correspondent-0373;Philipp Lüthard;lassberg-correspondent-0323;Eppishausen;lassberg-place-0043;;;295;;Luzern;Staatsarchiv;;;;;1818-09-24;;;;;;;;;;;
